"","Isolate","Meropenem","BioSample","Assembly"
"167","P0206","Resistant","SAMN50725722","GCA_052317495.1"
"168","P0208","Resistant","SAMN50725723","GCA_052317475.1"
"169","P0209","Resistant","SAMN50725724","GCA_052317455.1"
"170","P0210","Resistant","SAMN50725725","GCA_052317435.1"
"171","P0218","Resistant","SAMN50725726","GCA_052317415.1"
"172","P0219","Resistant","SAMN50725727","GCA_052317395.1"
"173","P0221","Resistant","SAMN50725728","GCA_052317375.1"
"174","P0222","Resistant","SAMN50725729","GCA_052317355.1"
"175","P0223","Resistant","SAMN50725730","GCA_052317335.1"
"176","P0224","Resistant","SAMN50725731","GCA_052317315.1"
"177","P0226","Resistant","SAMN50725732","GCA_052317295.1"
"178","P0227","Resistant","SAMN50725733","GCA_052317275.1"
"179","P0228","Resistant","SAMN50725734","GCA_052317255.1"
"180","P0229","Resistant","SAMN50725735","GCA_052317235.1"
"181","P0230","Resistant","SAMN50725736","GCA_052317215.1"
"182","P0231","Susceptible","SAMN50725737","GCA_052317195.1"
"183","P0232","Susceptible","SAMN50725738","GCA_052323435.1"
"184","P0233","Resistant","SAMN50725739","GCA_052317175.1"
"185","P0235","Susceptible","SAMN50725740","GCA_052317155.1"
"186","P0240","Susceptible","SAMN50725741","GCA_052317115.1"
"187","P0242","I","SAMN50725742","GCA_052317135.1"
"188","P0243","Susceptible","SAMN50725743","GCA_052317075.1"
"189","P0244","Resistant","SAMN50725744","GCA_052317095.1"
"190","P0245","Resistant","SAMN50725745","GCA_052317055.1"
"191","P0246","Resistant","SAMN50725746","GCA_052317035.1"
"192","P0247","Susceptible","SAMN50725747","GCA_052317015.1"
"193","P0249","Resistant","SAMN50725748","GCA_052316995.1"
"194","P0250","Resistant","SAMN50725749","GCA_052316975.1"
"195","P0251","Resistant","SAMN50725750","GCA_052316935.1"
"196","P0252","Resistant","SAMN50725751","GCA_052316955.1"
"197","P0253","I","SAMN50725752","GCA_052316915.1"
"198","P0254","Resistant","SAMN50725753","GCA_052316895.1"
"199","P0255","Resistant","SAMN50725754","GCA_052316875.1"
"200","P0256","Resistant","SAMN50725755","GCA_052316855.1"
"201","P0264","Susceptible","SAMN50725756","GCA_052316835.1"
"202","P0269","Resistant","SAMN50725757","GCA_052316815.1"
"203","P0270","I","SAMN50725758","GCA_052316795.1"
"204","P0271","Resistant","SAMN50725759","GCA_052316775.1"
"205","P0272","Resistant","SAMN50725760","GCA_052316755.1"
